From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P02185	P02185	reviewed	MYG_PHYMC	Myoglobin	MB	Physeter macrocephalus (Sperm whale) (Physeter catodon)	154
P00720	P00720	reviewed	ENLYS_BPT4	Endolysin, EC 3.2.1.17 (Lysis protein) (Lysozyme) (Muramidase)	E	Enterobacteria phage T4 (Bacteriophage T4)	164
P09211	P09211	reviewed	GSTP1_HUMAN	Glutathione S-transferase P, EC 2.5.1.18 (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
P05102	P05102	reviewed	MTH1_HAEPH	Type II methyltransferase M.HhaI, M.HhaI, EC 2.1.1.37 (Cytosine-specific methyltransferase HhaI) (Modification methylase HhaI)	hhaIM	Haemophilus parahaemolyticus	327
P00817	P00817	reviewed	IPYR_YEAST	Inorganic pyrophosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase, PPase)	IPP1 PPA PPA1 YBR011C YBR0202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287
P00963	P00963	reviewed	ASNA_ECOLI	Aspartate--ammonia ligase, EC 6.3.1.1 (Asparagine synthetase A)	asnA b3744 JW3722	Escherichia coli (strain K12)	330
P00669	P00669	reviewed	RNS_BOVIN	Seminal ribonuclease, S-RNase, Seminal RNase, EC 4.6.1.18 (Ribonuclease BS-1)	SRN	Bos taurus (Bovine)	150
P01112	P01112	reviewed	RASH_HUMAN	GTPase HRas, EC 3.6.5.2 (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed ]	HRAS HRAS1	Homo sapiens (Human)	189
P00918	P00918	reviewed	CAH2_HUMAN	Carbonic anhydrase 2, EC 4.2.1.1 (Carbonate dehydratase II) (Carbonic anhydrase C, CAC) (Carbonic anhydrase II, CA-II) (Cyanamide hydratase CA2, EC 4.2.1.69)	CA2	Homo sapiens (Human)	260
P00698	P00698	reviewed	LYSC_CHICK	Lysozyme C, EC 3.2.1.17 (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)	LYZ	Gallus gallus (Chicken)	147
P61626	P61626	reviewed	LYSC_HUMAN	Lysozyme C, EC 3.2.1.17 (1,4-beta-N-acetylmuramidase C)	LYZ LZM	Homo sapiens (Human)	148
P00703	P00703	reviewed	LYSC_MELGA	Lysozyme C, EC 3.2.1.17 (1,4-beta-N-acetylmuramidase C)	LYZ	Meleagris gallopavo (Wild turkey)	147
P07378	P07378	reviewed	PGKC_TRYBB	Phosphoglycerate kinase, glycosomal, Phosphoglycerate kinase C, EC 2.7.2.3		Trypanosoma brucei brucei	440
P00718	P00718	reviewed	LYG_ANSAN	Lysozyme g, EC 3.2.1.17 (1,4-beta-N-acetylmuramidase) (Goose-type lysozyme)		Anser anser anser (Western greylag goose)	185
P00096	P00096	reviewed	CY550_PARDE	Cytochrome c-550 (Cytochrome C2) (Cytochrome c550)	cycA	Paracoccus denitrificans	155
P01869	P01869	reviewed	IGH1M_MOUSE	Ig gamma-1 chain C region, membrane-bound form	Ighg1 Igh-4	Mus musculus (Mouse)	393
P01837	P01837	reviewed	IGKC_MOUSE	Immunoglobulin kappa constant (Ig kappa chain C region MOPC 21)	Igkc	Mus musculus (Mouse)	107
P06492	P06492	reviewed	VP16_HHV11	Tegument protein VP16 (Alpha trans-inducing protein) (Alpha-TIF) (ICP25) (Vmw65)	UL48	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	490
P16254	P16254	reviewed	SRP14_MOUSE	Signal recognition particle 14 kDa protein, SRP14	Srp14	Mus musculus (Mouse)	110
Q9RN68	Q9RN68	reviewed	CYC9_DESDA	Nine-heme cytochrome c (9Hcc)	Ddes_2038	Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949 / MB)	326
P69905	P69905	reviewed	HBA_HUMAN	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain)	HBA1; HBA2	Homo sapiens (Human)	142
P68871	P68871	reviewed	HBB_HUMAN	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin ]	HBB	Homo sapiens (Human)	147
P01100	P01100	reviewed	FOS_HUMAN	Protein c-Fos (Cellular oncogene fos) (Fos proto-oncogene, AP-1 transcription factor subunit) (G0/G1 switch regulatory protein 7) (Proto-oncogene c-Fos) (Transcription factor AP-1 subunit c-Fos)	FOS G0S7	Homo sapiens (Human)	380
P05412	P05412	reviewed	JUN_HUMAN	Transcription factor Jun (Activator protein 1, AP1) (Proto-oncogene c-Jun) (Transcription factor AP-1 subunit Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	Homo sapiens (Human)	331
Q13469	Q13469	reviewed	NFAC2_HUMAN	Nuclear factor of activated T-cells, cytoplasmic 2, NF-ATc2, NFATc2 (NFAT pre-existing subunit, NF-ATp) (T-cell transcription factor NFAT1)	NFATC2 NFAT1 NFATP	Homo sapiens (Human)	925
P30801	P30801	reviewed	S10A6_RABIT	Protein S100-A6 (Calcyclin) (Lung 10 kDa protein) (S100 calcium-binding protein A6)	S100A6	Oryctolagus cuniculus (Rabbit)	90
P0AF28	P0AF28	reviewed	NARL_ECOLI	Nitrate/nitrite response regulator protein NarL	narL frdR b1221 JW1212	Escherichia coli (strain K12)	216
Q56268	Q56268	reviewed	LEU3_ACIFR	3-isopropylmalate dehydrogenase, EC 1.1.1.85 (3-IPM-DH) (Beta-IPM dehydrogenase, IMDH)	leuB	Acidithiobacillus ferrooxidans (Thiobacillus ferrooxidans)	358
Q63450	Q63450	reviewed	KCC1A_RAT	Calcium/calmodulin-dependent protein kinase type 1, EC 2.7.11.17 (CaM kinase I, CaM-KI) (CaM kinase I alpha, CaMKI-alpha)	Camk1	Rattus norvegicus (Rat)	374
P12931	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src, EC 2.7.10.2 (Proto-oncogene c-Src) (pp60c-src, p60-Src)	SRC SRC1	Homo sapiens (Human)	536
P07270	P07270	reviewed	PHO4_YEAST	Phosphate system positive regulatory protein PHO4	PHO4 YFR034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312
P0AEC3	P0AEC3	reviewed	ARCB_ECOLI	Aerobic respiration control sensor protein ArcB, EC 2.7.13.3	arcB b3210 JW5536	Escherichia coli (strain K12)	778
P19148	P19148	reviewed	XYLA_THETU	Xylose isomerase, EC 5.3.1.5	xylA	Thermoanaerobacterium thermosulfurigenes (Clostridium thermosulfurogenes)	439
P54273	P54273	reviewed	XYLA_GEOSE	Xylose isomerase, EC 5.3.1.5	xylA	Geobacillus stearothermophilus (Bacillus stearothermophilus)	441
P45687	P45687	reviewed	XYLA_THENE	Xylose isomerase, EC 5.3.1.5	xylA	Thermotoga neapolitana	444
P0A9D2	P0A9D2	reviewed	GSTA_ECOLI	Glutathione S-transferase GstA, EC 2.5.1.18 (GST B1-1)	gstA gst b1635 JW1627	Escherichia coli (strain K12)	201
P19938	P19938	reviewed	DAAA_BACYM	D-alanine aminotransferase, EC 2.6.1.21 (D-amino acid aminotransferase) (D-amino acid transaminase, DAAT) (D-aspartate aminotransferase)	dat	Bacillus sp. (strain YM-1)	283
P00735	P00735	reviewed	THRB_BOVIN	Prothrombin, EC 3.4.21.5 (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain ]	F2	Bos taurus (Bovine)	625
P00969	P00969	reviewed	DNLI_BPT7	DNA ligase, EC 6.5.1.1 (DNA ligase gp1.3) (Gene product 1.3, Gp1.3)	1.3	Escherichia phage T7 (Bacteriophage T7)	359
P35033	P35033	reviewed	TRY3_SALSA	Trypsin-3, EC 3.4.21.4 (Trypsin III)		Salmo salar (Atlantic salmon)	238
Q42449	Q42449	reviewed	PRF1_ARATH	Profilin-1 (AtPROF1) (AthPRF1) (allergen Ara t 8)	PRF1 PFN1 PRO1 At2g19760 F6F22.21	Arabidopsis thaliana (Mouse-ear cress)	131
P20231	P20231	reviewed	TRYB2_HUMAN	Tryptase beta-2, Tryptase-2, EC 3.4.21.59 (Tryptase II)	TPSB2 TPS2	Homo sapiens (Human)	275
P56638	P56638	reviewed	CA1A_CONEP	Alpha-conotoxin EpI		Conus episcopatus (Bishop's cone)	56
P27986	P27986	reviewed	P85A_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit alpha, PI3-kinase regulatory subunit alpha, PI3K regulatory subunit alpha, PtdIns-3-kinase regulatory subunit alpha (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha, PI3-kinase subunit p85-alpha, PtdIns-3-kinase regulatory subunit p85-alpha)	PIK3R1 GRB1	Homo sapiens (Human)	724
P06241	P06241	reviewed	FYN_HUMAN	Tyrosine-protein kinase Fyn, EC 2.7.10.2 (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase, SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537
P0AE67	P0AE67	reviewed	CHEY_ECOLI	Chemotaxis protein CheY	cheY b1882 JW1871	Escherichia coli (strain K12)	129
P07363	P07363	reviewed	CHEA_ECOLI	Chemotaxis protein CheA, EC 2.7.13.3	cheA b1888 JW1877	Escherichia coli (strain K12)	654
P0A8P8	P0A8P8	reviewed	XERD_ECOLI	Tyrosine recombinase XerD	xerD xprB b2894 JW2862	Escherichia coli (strain K12)	298
P62871	P62871	reviewed	GBB1_BOVIN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Bos taurus (Bovine)	340
P02698	P02698	reviewed	GBG1_BOVIN	Guanine nucleotide-binding protein G(T) subunit gamma-T1 (Transducin gamma chain)	GNGT1	Bos taurus (Bovine)	74
P19632	P19632	reviewed	PHOS_BOVIN	Phosducin, PHD (33 kDa phototransducing protein) (Protein MEKA)	PDC	Bos taurus (Bovine)	245
P22340	P22340	reviewed	SCRY_SALTM	Sucrose porin	scrY	Salmonella typhimurium	505
P25110	P25110	reviewed	ACHD_RAT	Acetylcholine receptor subunit delta	Chrnd Acrd	Rattus norvegicus (Rat)	517
P18754	P18754	reviewed	RCC1_HUMAN	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421
P01515	P01515	reviewed	MAST_VESXA	Mastoparan-X, MP-X		Vespa xanthoptera (Japanese yellow hornet) (Vespa simillima xanthoptera)	14
P01749	P01749	reviewed	HVM05_MOUSE	Ig heavy chain V region 3	Ighv1-61 Igh-VJ558	Mus musculus (Mouse)	117
P01645	P01645	reviewed	KV5AC_MOUSE	Ig kappa chain V-V region HP 93G7		Mus musculus (Mouse)	108
P03472	P03472	reviewed	NRAM_I75A5	Neuraminidase, EC 3.2.1.18	NA	Influenza A virus (strain A/Tern/Australia/G70C/1975 H11N9)	470
P48061	P48061	reviewed	SDF1_HUMAN	Stromal cell-derived factor 1, SDF-1, hSDF-1 (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas, IRH, hIRH) (Pre-B cell growth-stimulating factor, PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67) ]	CXCL12 SDF1 SDF1A SDF1B	Homo sapiens (Human)	93
P15034	P15034	reviewed	AMPP_ECOLI	Xaa-Pro aminopeptidase, EC 3.4.11.9 (Aminoacylproline aminopeptidase) (Aminopeptidase P II, APP-II) (X-Pro aminopeptidase)	pepP b2908 JW2876	Escherichia coli (strain K12)	441
P53041	P53041	reviewed	PPP5_HUMAN	Serine/threonine-protein phosphatase 5, PP5, EC 3.1.3.16 (Protein phosphatase T, PP-T, PPT)	PPP5C PPP5	Homo sapiens (Human)	499
P04117	P04117	reviewed	FABP4_MOUSE	Fatty acid-binding protein, adipocyte (3T3-L1 lipid-binding protein) (Adipocyte lipid-binding protein, ALBP) (Adipocyte-type fatty acid-binding protein, A-FABP, AFABP) (Fatty acid-binding protein 4) (Myelin P2 protein homolog) (P15) (P2 adipocyte protein) (Protein 422)	Fabp4 Ap2	Mus musculus (Mouse)	132
P11540	P11540	reviewed	BARS_BACAM	Barstar (Ribonuclease inhibitor)		Bacillus amyloliquefaciens (Bacillus velezensis)	90
P20436	P20436	reviewed	RPAB3_YEAST	DNA-directed RNA polymerases I, II, and III subunit RPABC3, RNA polymerases I, II, and III subunit ABC3 (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)	RPB8 YOR224C YOR50-14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146
P08046	P08046	reviewed	EGR1_MOUSE	Early growth response protein 1, EGR-1 (Nerve growth factor-induced protein A, NGFI-A) (Transcription factor Zif268) (Zinc finger protein Krox-24)	Egr1 Egr-1 Krox-24	Mus musculus (Mouse)	533
P01889	P01889	reviewed	HLAB_HUMAN	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B, HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362
P61769	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3 ]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
P26663	P26663	reviewed	POLG_HCVBK	Genome polyprotein [Cleaved into: Core protein precursor (Capsid protein C) (p23); Mature core protein (p21); Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); Viroporin p7; Protease NS2, p23, EC 3.4.22.-; Serine protease/helicase NS3, EC 3.4.21.98, EC 3.6.1.15, EC 3.6.4.13 (Hepacivirin) (NS3 helicase) (NS3 protease) (NS3P) (Viroporin p70); Non-structural protein 4A, NS4A (p8); Non-structural protein 4B, NS4B (p27); Non-structural protein 5A, NS5A (p56/58); RNA-directed RNA polymerase, EC 2.7.7.48 (NS5B) (p68) ]		Hepatitis C virus genotype 1b (isolate BK) (HCV)	3010
P27958	P27958	reviewed	POLG_HCV77	Genome polyprotein [Cleaved into: Core protein precursor (Capsid protein C) (p23); Mature core protein (p21); Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); Viroporin p7; Protease NS2, p23, EC 3.4.22.- (Non-structural protein 2, NS2); Serine protease/helicase NS3, EC 3.4.21.98, EC 3.6.1.15, EC 3.6.4.13 (Hepacivirin) (NS3 helicase) (NS3 protease) (NS3P) (Viroporin p70); Non-structural protein 4A, NS4A (p8); Non-structural protein 4B, NS4B (p27); Non-structural protein 5A, NS5A (p56/58); RNA-directed RNA polymerase, EC 2.7.7.48 (NS5B) (p68) ]		Hepatitis C virus genotype 1a (isolate H77) (HCV)	3011
O39914	O39914	unreviewed	O39914_9HEPC	Non-structural protein 4a/b	NS4a/b	Hepacivirus C	88
Q51742	Q51742	reviewed	OTCA_PYRFU	Ornithine carbamoyltransferase, anabolic, OTCase, EC 2.1.3.3	argF PF0594	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	315
Q75677	Q75677	unreviewed	Q75677_9HIV1	Gag polyprotein	gag	Human immunodeficiency virus 1	107
P04637	P04637	reviewed	P53_HUMAN	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
