PDB_ID,ExactMatch,NumMotifs_Ori,NumMotifs_Opt,SharedMotifs,JaccardAvg
MGYP000261547814,False,7,0,0,0.0
MGYP004583147139,False,1,0,0,0.0
MGYP004583260809,False,3,0,0,0.0
MGYP004583317113,False,1,0,0,0.0
MGYP004583324103,False,1,0,0,0.0
MGYP004583338193,False,1,0,0,0.0
MGYP004583398527,False,1,0,0,0.0
MGYP004583400103,False,2,0,0,0.0
MGYP004583420193,False,2,0,0,0.0
MGYP004583467527,False,3,0,0,0.0
MGYP004583544809,False,1,0,0,0.0
MGYP004583572211,False,1,0,0,0.0
MGYP004583580527,False,3,0,0,0.0
MGYP004583584139,False,1,0,0,0.0
MGYP004583587139,False,2,0,0,0.0
MGYP004583597113,False,2,0,0,0.0
MGYP004583618139,False,3,0,0,0.0
MGYP004583646893,False,2,0,0,0.0
MGYP004583667211,False,2,0,0,0.0
MGYP004583672113,False,2,0,0,0.0
MGYP004583677809,False,2,0,0,0.0
MGYP004583708353,False,2,0,0,0.0
MGYP004583756893,False,6,0,0,0.0
MGYP004583780527,False,3,0,0,0.0
MGYP004583805991,False,1,0,0,0.0
MGYP004583839211,False,1,0,0,0.0
MGYP004583872527,False,4,0,0,0.0
MGYP004583958211,False,2,0,0,0.0
MGYP004583959211,False,1,0,0,0.0
MGYP004583971527,False,2,0,0,0.0
MGYP004584095353,False,2,0,0,0.0
MGYP004584116103,False,3,0,0,0.0
MGYP004584131193,False,1,0,0,0.0
MGYP004584154991,False,1,0,0,0.0
MGYP004584186193,False,1,0,0,0.0
MGYP004584206893,False,1,0,0,0.0
MGYP004584246103,False,1,0,0,0.0
MGYP004584249893,False,1,0,0,0.0
MGYP004584296353,False,1,0,0,0.0
MGYP004584517113,False,4,0,0,0.0
MGYP004584518139,False,4,0,0,0.0
MGYP004584520139,False,3,0,0,0.0
MGYP004584539113,False,3,0,0,0.0
MGYP004584553193,False,1,0,0,0.0
MGYP004584586809,False,1,0,0,0.0
MGYP004584621353,False,1,0,0,0.0
MGYP004584624103,False,2,0,0,0.0
MGYP004584651103,False,1,0,0,0.0
MGYP004584682809,False,3,0,0,0.0
MGYP004584741527,False,2,0,0,0.0
MGYP004584791893,False,3,0,0,0.0
MGYP004584804353,False,1,0,0,0.0
MGYP004584905211,False,1,0,0,0.0
MGYP004584990893,False,1,0,0,0.0
MGYP004585002353,False,4,0,0,0.0
MGYP004585032527,False,2,0,0,0.0
MGYP004585094113,False,2,0,0,0.0
MGYP004585130193,False,4,0,0,0.0
MGYP004585212353,False,1,0,0,0.0
MGYP004585230211,False,1,0,0,0.0
MGYP004585396991,False,6,0,0,0.0
MGYP004585399527,False,2,0,0,0.0
MGYP004585455893,False,3,0,0,0.0
MGYP004585460809,False,1,0,0,0.0
MGYP004585583139,False,1,0,0,0.0
MGYP004585680893,False,2,0,0,0.0
MGYP004585686353,False,2,0,0,0.0
MGYP004585698193,False,1,0,0,0.0
MGYP004585760139,False,1,0,0,0.0
MGYP004585802103,False,1,0,0,0.0
MGYP004585808139,False,1,0,0,0.0
MGYP004585840527,False,1,0,0,0.0
MGYP004585895809,False,6,0,0,0.0
MGYP004585992809,False,4,0,0,0.0
MGYP004586037103,False,1,0,0,0.0
MGYP004586050809,False,1,0,0,0.0
MGYP004586077527,False,5,0,0,0.0
MGYP004586121193,False,5,0,0,0.0
MGYP004586130527,False,2,0,0,0.0
MGYP004586139113,False,3,0,0,0.0
MGYP004586168353,False,6,0,0,0.0
MGYP004586177893,False,1,0,0,0.0
MGYP004586191809,False,2,0,0,0.0
MGYP004586225353,False,1,0,0,0.0
MGYP004586225991,False,3,0,0,0.0
MGYP004586255527,False,1,0,0,0.0
MGYP004586260103,False,2,0,0,0.0
MGYP004586270211,False,3,0,0,0.0
MGYP004586341809,False,2,0,0,0.0
MGYP004586376211,False,2,0,0,0.0
MGYP004586439809,False,1,0,0,0.0
MGYP004586473103,False,1,0,0,0.0
MGYP004586479353,False,1,0,0,0.0
MGYP004586489353,False,1,0,0,0.0
MGYP004586511211,False,1,0,0,0.0
MGYP004586555991,False,1,0,0,0.0
MGYP004586570893,False,2,0,0,0.0
MGYP004586600139,False,3,0,0,0.0
MGYP004586613193,False,1,0,0,0.0
MGYP004586640809,False,1,0,0,0.0
MGYP004586644139,False,1,0,0,0.0
MGYP004586660893,False,1,0,0,0.0
MGYP004586695139,False,1,0,0,0.0
MGYP004586723113,False,1,0,0,0.0
MGYP004586774139,False,3,0,0,0.0
MGYP004586776139,False,3,0,0,0.0
MGYP004586789893,False,1,0,0,0.0
MGYP004586806353,False,1,0,0,0.0
MGYP004586835527,False,1,0,0,0.0
MGYP004586919527,False,2,0,0,0.0
MGYP004587003113,False,3,0,0,0.0
MGYP004587003211,False,2,0,0,0.0
MGYP004587069113,False,4,0,0,0.0
MGYP004587077113,False,2,0,0,0.0
MGYP004587105809,False,1,0,0,0.0
MGYP004587184809,False,5,0,0,0.0
MGYP004587225211,False,3,0,0,0.0
MGYP004587305353,False,4,0,0,0.0
MGYP004587307527,False,2,0,0,0.0
MGYP004587357113,False,1,0,0,0.0
MGYP004587418113,False,1,0,0,0.0
MGYP004587424193,False,3,0,0,0.0
MGYP004587474527,False,2,0,0,0.0
MGYP004587503809,False,1,0,0,0.0
MGYP004587539103,False,2,0,0,0.0
MGYP004587544809,False,1,0,0,0.0
MGYP004587706103,False,1,0,0,0.0
MGYP004587848353,False,3,0,0,0.0
MGYP004587860139,False,4,0,0,0.0
MGYP004587911893,False,1,0,0,0.0
MGYP004587923353,False,1,0,0,0.0
MGYP004587994193,False,5,0,0,0.0
MGYP004588012991,False,7,0,0,0.0
MGYP004588039809,False,1,0,0,0.0
MGYP004588079113,False,1,0,0,0.0
MGYP004588080113,False,1,0,0,0.0
MGYP004588094139,False,5,0,0,0.0
MGYP004588120103,False,2,0,0,0.0
MGYP004588258139,False,1,0,0,0.0
MGYP004588321211,False,2,0,0,0.0
MGYP004588346113,False,1,0,0,0.0
MGYP004588370193,False,3,0,0,0.0
MGYP004588395139,False,2,0,0,0.0
MGYP004588418893,False,4,0,0,0.0
MGYP004588453113,False,1,0,0,0.0
MGYP004588514353,False,1,0,0,0.0
MGYP004588523113,False,2,0,0,0.0
MGYP004588549103,False,1,0,0,0.0
MGYP004588601139,False,1,0,0,0.0
MGYP004588692113,False,1,0,0,0.0
MGYP004588722809,False,1,0,0,0.0
MGYP004588747211,False,1,0,0,0.0
MGYP004588797211,False,1,0,0,0.0
MGYP004588849113,False,2,0,0,0.0
MGYP004588861991,False,3,0,0,0.0
MGYP004588889991,False,6,0,0,0.0
MGYP004588931113,False,1,0,0,0.0
MGYP004588968893,False,6,0,0,0.0
MGYP004588972353,False,4,0,0,0.0
MGYP004589063139,False,2,0,0,0.0
MGYP004589079809,False,2,0,0,0.0
MGYP004589099991,False,3,0,0,0.0
MGYP004589125893,False,2,0,0,0.0
MGYP004589143139,False,6,0,0,0.0
MGYP004589177991,False,4,0,0,0.0
MGYP004589235893,False,1,0,0,0.0
MGYP004589256527,False,1,0,0,0.0
MGYP004589281211,False,1,0,0,0.0
MGYP004589348809,False,1,0,0,0.0
MGYP004589372527,False,4,0,0,0.0
MGYP004589415103,False,1,0,0,0.0
MGYP004589424103,False,4,0,0,0.0
MGYP004589424193,False,7,0,0,0.0
MGYP004589468353,False,5,0,0,0.0
MGYP004589474893,False,1,0,0,0.0
MGYP004589479991,False,4,0,0,0.0
MGYP004589515353,False,1,0,0,0.0
MGYP004589524113,False,1,0,0,0.0
MGYP004589530527,False,2,0,0,0.0
MGYP004589568211,False,2,0,0,0.0
MGYP004589598893,False,1,0,0,0.0
MGYP004589601139,False,1,0,0,0.0
MGYP004589620113,False,1,0,0,0.0
MGYP004589698139,False,3,0,0,0.0
MGYP004589824103,False,1,0,0,0.0
MGYP004589850139,False,3,0,0,0.0
MGYP004589876103,False,2,0,0,0.0
MGYP004589920893,False,1,0,0,0.0
MGYP004589958193,False,6,0,0,0.0
MGYP004589961991,False,2,0,0,0.0
MGYP004589963113,False,2,0,0,0.0
MGYP004589978893,False,3,0,0,0.0
MGYP004589980103,False,3,0,0,0.0
MGYP004589981991,False,3,0,0,0.0
MGYP004589990353,False,4,0,0,0.0
MGYP004589995353,False,2,0,0,0.0
MGYP004590030139,False,4,0,0,0.0
MGYP004590058527,False,4,0,0,0.0
MGYP004590085211,False,2,0,0,0.0
MGYP004590118113,False,1,0,0,0.0
MGYP004590132193,False,6,0,0,0.0
MGYP004590197991,False,2,0,0,0.0
MGYP004590210193,False,3,0,0,0.0
MGYP004590287809,False,2,0,0,0.0
MGYP004590295211,False,8,0,0,0.0
MGYP004590300353,False,1,0,0,0.0
MGYP004590353991,False,1,0,0,0.0
MGYP004590414353,False,1,0,0,0.0
MGYP004590431113,False,3,0,0,0.0
MGYP004590478991,False,3,0,0,0.0
MGYP004590484893,False,4,0,0,0.0
MGYP004590489139,False,1,0,0,0.0
MGYP004590547893,False,2,0,0,0.0
MGYP004590554193,False,1,0,0,0.0
MGYP004590567113,False,1,0,0,0.0
MGYP004590591893,False,2,0,0,0.0
MGYP004590605211,False,2,0,0,0.0
MGYP004590612353,False,2,0,0,0.0
MGYP004590615809,False,1,0,0,0.0
MGYP004590666809,False,2,0,0,0.0
MGYP004590685139,False,2,0,0,0.0
MGYP004590725991,False,3,0,0,0.0
MGYP004590774353,False,1,0,0,0.0
MGYP004590796809,False,2,0,0,0.0
MGYP004590838113,False,4,0,0,0.0
MGYP004590838527,False,1,0,0,0.0
MGYP004590957527,False,7,0,0,0.0
MGYP004590961353,False,2,0,0,0.0
MGYP004590969211,False,1,0,0,0.0
MGYP004590997893,False,1,0,0,0.0
MGYP004591034527,False,3,0,0,0.0
MGYP004591046991,False,3,0,0,0.0
MGYP004591078211,False,1,0,0,0.0
MGYP004591096193,False,1,0,0,0.0
MGYP004591101211,False,1,0,0,0.0
MGYP004591104893,False,2,0,0,0.0
MGYP004591147139,False,3,0,0,0.0
MGYP004591193139,False,2,0,0,0.0
MGYP004591310353,False,1,0,0,0.0
MGYP004591330193,False,12,0,0,0.0
MGYP004591367211,False,1,0,0,0.0
MGYP004591426211,False,2,0,0,0.0
MGYP004591503113,False,2,0,0,0.0
MGYP004591510527,False,1,0,0,0.0
MGYP004591567991,False,1,0,0,0.0
MGYP004591589103,False,4,0,0,0.0
MGYP004591625103,False,2,0,0,0.0
MGYP004591632527,False,1,0,0,0.0
MGYP004591672139,False,3,0,0,0.0
MGYP004591698353,False,1,0,0,0.0
MGYP004591702113,False,2,0,0,0.0
MGYP004591703893,False,2,0,0,0.0
MGYP004591793103,False,5,0,0,0.0
MGYP004591799353,False,3,0,0,0.0
MGYP004591808211,False,4,0,0,0.0
MGYP004591877893,False,2,0,0,0.0
MGYP004591896809,False,3,0,0,0.0
MGYP004591897211,False,1,0,0,0.0
MGYP004591945809,False,2,0,0,0.0
MGYP004591956353,False,1,0,0,0.0
MGYP004591965103,False,2,0,0,0.0
MGYP004592005527,False,1,0,0,0.0
MGYP004592027353,False,1,0,0,0.0
MGYP004592042809,False,1,0,0,0.0
MGYP004592075353,False,2,0,0,0.0
MGYP004592094809,False,2,0,0,0.0
MGYP004592144991,False,1,0,0,0.0
MGYP004592145193,False,2,0,0,0.0
MGYP004592146113,False,2,0,0,0.0
MGYP004592206103,False,1,0,0,0.0
MGYP004592312991,False,6,0,0,0.0
MGYP004592319103,False,1,0,0,0.0
MGYP004592321527,False,3,0,0,0.0
MGYP004592376113,False,1,0,0,0.0
MGYP004592501991,False,1,0,0,0.0
MGYP004592566193,False,1,0,0,0.0
MGYP004592648353,False,1,0,0,0.0
MGYP004592682113,False,8,0,0,0.0
MGYP004592688113,False,2,0,0,0.0
MGYP004592774527,False,3,0,0,0.0
MGYP004592787991,False,1,0,0,0.0
MGYP004592798113,False,6,0,0,0.0
MGYP004592872193,False,3,0,0,0.0
MGYP004592896211,False,6,0,0,0.0
MGYP004592933991,False,3,0,0,0.0
MGYP004592959809,False,4,0,0,0.0
MGYP004592977527,False,3,0,0,0.0
MGYP004593010113,False,3,0,0,0.0
MGYP004593166103,False,2,0,0,0.0
MGYP004593211991,False,1,0,0,0.0
MGYP004593253893,False,1,0,0,0.0
MGYP004593351103,False,2,0,0,0.0
MGYP004593355103,False,2,0,0,0.0
MGYP004593374527,False,1,0,0,0.0
MGYP004593512193,False,1,0,0,0.0
MGYP004593514139,False,1,0,0,0.0
MGYP004593515139,False,10,0,0,0.0
MGYP004593634527,False,1,0,0,0.0
MGYP004593671113,False,1,0,0,0.0
MGYP004593828193,False,1,0,0,0.0
MGYP004594004809,False,2,0,0,0.0
MGYP004594185103,False,1,0,0,0.0
MGYP004594198103,False,1,0,0,0.0
MGYP004594216991,False,1,0,0,0.0
MGYP004594220103,False,2,0,0,0.0
MGYP004594237139,False,2,0,0,0.0
MGYP004594255113,False,1,0,0,0.0
MGYP004594256113,False,2,0,0,0.0
MGYP004594268353,False,2,0,0,0.0
MGYP004594300113,False,2,0,0,0.0
MGYP004594335139,False,2,0,0,0.0
MGYP004594380139,False,1,0,0,0.0
MGYP004594469113,False,1,0,0,0.0
MGYP004594497991,False,4,0,0,0.0
MGYP004594523113,False,3,0,0,0.0
MGYP004594533527,False,1,0,0,0.0
MGYP004594564113,False,4,0,0,0.0
MGYP004594613193,False,1,0,0,0.0
MGYP004594635211,False,1,0,0,0.0
MGYP004594647809,False,4,0,0,0.0
MGYP004594661991,False,1,0,0,0.0
MGYP004594673193,False,1,0,0,0.0
MGYP004594682893,False,1,0,0,0.0
MGYP004594702211,False,2,0,0,0.0
MGYP004594747103,False,4,0,0,0.0
MGYP004594761211,False,1,0,0,0.0
MGYP004594762113,False,2,0,0,0.0
MGYP004594832193,False,3,0,0,0.0
MGYP004594897893,False,1,0,0,0.0
MGYP004594942193,False,1,0,0,0.0
MGYP004594954113,False,4,0,0,0.0
MGYP004594956527,False,6,0,0,0.0
MGYP004594958353,False,4,0,0,0.0
MGYP004594991113,False,3,0,0,0.0
MGYP004595117809,False,4,0,0,0.0
MGYP004595118103,False,2,0,0,0.0
MGYP004595135113,False,1,0,0,0.0
MGYP004595150139,False,1,0,0,0.0
MGYP004595195113,False,1,0,0,0.0
MGYP004595228103,False,1,0,0,0.0
MGYP004595250809,False,1,0,0,0.0
MGYP004595292353,False,1,0,0,0.0
MGYP004595297809,False,2,0,0,0.0
MGYP004595337113,False,3,0,0,0.0
MGYP004595381809,False,1,0,0,0.0
MGYP004595412139,False,4,0,0,0.0
MGYP004595517113,False,3,0,0,0.0
MGYP004595524353,False,3,0,0,0.0
