PDB_ID,ExactMatch,NumMotifs_Ori,NumMotifs_Opt,SharedMotifs,JaccardAvg
MGYP000000453097,True,5,5,5,1.0
MGYP000001442328,True,1,1,1,1.0
MGYP000001795303,True,1,1,1,1.0
MGYP000001972013,True,3,3,3,1.0
MGYP000002588102,True,2,2,2,1.0
MGYP000002771634,True,1,1,1,1.0
MGYP000002811265,True,1,1,1,1.0
MGYP000003583008,True,2,2,2,1.0
MGYP000006012826,True,2,2,2,1.0
MGYP000006462911,True,2,2,2,1.0
MGYP000007363650,True,2,2,2,1.0
MGYP000007453127,True,1,1,1,1.0
MGYP000007840774,True,2,2,2,1.0
MGYP000008291468,True,1,1,1,1.0
MGYP000008565366,True,2,2,2,1.0
MGYP000008709396,True,1,1,1,1.0
MGYP000009684769,True,4,4,4,1.0
MGYP000010181996,True,7,7,7,1.0
MGYP000010616217,True,1,1,1,1.0
MGYP000011721625,True,1,1,1,1.0
MGYP000011913865,True,1,1,1,1.0
MGYP000013158409,True,2,2,2,1.0
MGYP000013448651,True,2,2,2,1.0
MGYP000014128812,True,4,4,4,1.0
MGYP000014270089,True,2,2,2,1.0
MGYP000015094204,True,1,1,1,1.0
MGYP000016193481,True,1,1,1,1.0
MGYP000016305124,True,2,2,2,1.0
MGYP000016394875,True,2,2,2,1.0
MGYP000016535756,True,1,1,1,1.0
MGYP000017603405,True,6,6,6,1.0
MGYP000017801654,True,3,3,3,1.0
MGYP000018274853,True,1,1,1,1.0
MGYP000018278848,True,2,2,2,1.0
MGYP000018631754,True,2,2,2,1.0
MGYP000020261782,True,2,2,2,1.0
MGYP000020277580,True,1,1,1,1.0
MGYP000020532733,True,1,1,1,1.0
MGYP000020607098,True,1,1,1,1.0
MGYP000021043716,True,3,3,3,1.0
MGYP000021291058,True,1,1,1,1.0
MGYP000022063886,True,9,9,9,1.0
MGYP000022686141,True,1,1,1,1.0
MGYP000022714974,True,6,6,6,1.0
MGYP000024008407,True,4,4,4,1.0
MGYP000024192438,True,1,1,1,1.0
MGYP000025323976,True,4,4,4,1.0
MGYP000025623376,True,1,1,1,1.0
MGYP000025701050,True,5,5,5,1.0
MGYP000026177788,True,2,2,2,1.0
MGYP000026367232,True,4,4,4,1.0
MGYP000026772173,True,4,4,4,1.0
MGYP000027209003,True,2,2,2,1.0
MGYP000027234173,True,3,3,3,1.0
MGYP000028001123,True,2,2,2,1.0
MGYP000028180371,True,1,1,1,1.0
MGYP000029664537,True,2,2,2,1.0
MGYP000030887266,True,1,1,1,1.0
MGYP000031525421,True,1,1,1,1.0
MGYP000032331617,True,1,1,1,1.0
MGYP000032525366,True,1,1,1,1.0
MGYP000033779507,True,7,7,7,1.0
MGYP000034220118,True,6,6,6,1.0
MGYP000035114301,True,1,1,1,1.0
MGYP000035330456,True,1,1,1,1.0
MGYP000036753620,True,2,2,2,1.0
MGYP000037420599,True,1,1,1,1.0
MGYP000038928263,True,2,2,2,1.0
MGYP000039857314,True,4,4,4,1.0
MGYP000039949461,True,3,3,3,1.0
MGYP000040982038,True,1,1,1,1.0
MGYP000042745762,True,4,4,4,1.0
MGYP000042801367,True,1,1,1,1.0
MGYP000042985039,True,1,1,1,1.0
MGYP000043359999,True,1,1,1,1.0
MGYP000043964882,True,1,1,1,1.0
MGYP000044379346,True,1,1,1,1.0
MGYP000044453755,True,1,1,1,1.0
MGYP000044657340,True,4,4,4,1.0
MGYP000045701691,True,5,5,5,1.0
MGYP000046731924,True,1,1,1,1.0
MGYP000047033630,True,4,4,4,1.0
MGYP000047249947,True,1,1,1,1.0
MGYP000047482423,True,4,4,4,1.0
MGYP000049178548,True,1,1,1,1.0
MGYP000049345626,True,2,2,2,1.0
